,audio_data,genre
0,"[-1.13598824e+02  1.21570671e+02 -1.91622620e+01  4.23639374e+01
 -6.36226606e+00  1.86219311e+01 -1.36997337e+01  1.53398018e+01
 -1.22743044e+01  1.09709454e+01 -8.32606125e+00  8.80208778e+00
 -3.66994143e+00  5.74467564e+00 -5.16278315e+00  7.51706421e-01
 -1.68785405e+00 -4.08729970e-01 -2.30267668e+00  1.22246706e+00
 -3.53287458e+00 -1.13978064e+00 -4.28282785e+00 -4.22608376e+00
  9.15187657e-01  9.14063931e-01 -5.76180744e+00 -3.93280363e+00
  1.50943458e+00  2.69846559e+00  5.65607309e+00 -3.26900792e+00
 -2.06063747e-01 -2.99969816e+00  4.47631693e+00 -4.76855040e-01
  6.00628519e+00 -5.96903339e-02 -3.45858479e+00 -1.84183240e+00
  8.30448207e-02  1.30184323e-01  1.78412264e+03  1.23046875e+02]",blues
1,"[-2.07523834e+02  1.23985138e+02  8.94701958e+00  3.58671494e+01
  2.90959430e+00  2.15194721e+01 -8.55651283e+00  2.33706760e+01
 -1.01036091e+01  1.18992424e+01 -5.55882406e+00  5.37787628e+00
 -2.23449159e+00  4.22070408e+00 -6.01068640e+00  9.29294169e-01
 -7.28402972e-01  2.96872348e-01 -2.82430440e-01  5.30644476e-01
 -4.09878492e+00 -1.24318552e+00 -2.85135698e+00 -4.35019541e+00
  3.27508473e+00  1.21957326e+00 -1.37655046e-02 -6.66082725e-02
  3.97903347e+00 -4.57767248e-01  8.36018801e-01 -3.74321723e+00
 -4.09970474e+00 -2.45190573e+00  5.83480740e+00  3.54498768e+00
  4.89731979e+00 -4.15596932e-01 -1.99541461e+00 -4.65217859e-01
  5.60398087e-02  9.59078223e-02  1.53026177e+03  1.07666016e+02]",blues
2,"[-9.07571640e+01  1.40440872e+02 -2.90845470e+01  3.16866932e+01
 -1.39765472e+01  2.57537518e+01 -1.36649914e+01  1.16344423e+01
 -1.17783222e+01  9.71475601e+00 -1.31253138e+01  5.79124641e+00
 -8.90196609e+00 -1.08016014e+00 -9.22624397e+00  2.44830441e+00
 -7.72483969e+00 -1.81902397e+00 -3.44045758e+00 -2.23812771e+00
 -4.05233765e+00 -5.71422577e-01 -2.01183724e+00 -5.38633585e+00
 -5.13353062e+00 -7.80553484e+00 -1.16878366e+00 -2.05966890e-01
  1.39643466e+00 -3.00187993e+00 -1.37648141e+00 -4.74963236e+00
 -3.77515763e-01  4.93469149e-01  4.47270542e-01 -4.16267204e+00
 -4.81574917e+00 -6.70323372e+00 -4.42533350e+00 -9.81519163e-01
  7.62912075e-02  1.75473213e-01  1.55283248e+03  1.61499023e+02]",blues
3,"[-1.99575134e+02  1.50086105e+02  5.66340399e+00  2.68552780e+01
  1.77007151e+00  1.42326469e+01 -4.82784510e+00  9.28685284e+00
 -7.56120145e-01  8.13443470e+00 -3.20002604e+00  6.07808161e+00
 -2.47844505e+00 -1.08158696e+00 -2.87445426e+00  7.73993969e-01
 -3.32406878e+00  6.36310577e-01 -6.15967572e-01 -3.40504599e+00
 -1.49680877e+00 -5.40116541e-02 -1.86131454e+00 -4.70993090e+00
 -3.92633152e+00 -6.64947987e+00 -2.89777827e+00 -3.22513056e+00
 -2.72314727e-01 -3.81755352e+00 -2.82194924e+00 -4.20442724e+00
 -2.70233583e+00 -3.84560418e+00 -2.52440977e+00 -4.93560982e+00
 -5.95497704e+00 -6.61699581e+00 -6.39600182e+00 -1.50118876e+00
  3.33088626e-02  1.41040266e-01  1.07015342e+03  1.72265625e+02]",blues
4,"[-1.60354172e+02  1.26209480e+02 -3.55813942e+01  2.21392555e+01
 -3.24735489e+01  1.08507013e+01 -2.33500710e+01  4.93248940e-01
 -1.17965393e+01  1.20351934e+00 -1.30849590e+01 -2.81049919e+00
 -6.93447065e+00 -7.55387545e+00 -9.16766930e+00 -4.51586294e+00
 -5.45178604e+00 -9.15952384e-01 -4.40801764e+00 -1.17043848e+01
 -5.86630392e+00 -7.21431971e-01  9.55714464e-01 -1.21846569e+00
  4.58054018e+00  3.01649421e-01 -1.28004360e+00 -4.48653269e+00
 -4.10622001e-01  2.79264212e-01  8.48170185e+00  3.64614630e+00
 -3.00767350e+00 -6.11080313e+00 -6.95196962e+00 -4.07055330e+00
 -1.13721561e+00 -4.91604865e-01 -4.78661919e+00 -3.22112751e+00
  1.01460539e-01  9.15012211e-02  1.83512851e+03  1.35999178e+02]",blues
5,"[-1.77801758e+02  1.18203163e+02 -1.75706291e+01  3.07609310e+01
 -2.17425537e+01  1.19192629e+01 -2.07342987e+01  3.18528819e+00
 -8.58081818e+00 -9.32885230e-01 -1.17722454e+01 -2.40876365e+00
 -9.34844589e+00 -9.94263554e+00 -3.90218353e+00 -5.57456207e+00
 -1.83931434e+00 -2.78931665e+00 -3.04780483e+00 -8.10973167e+00
 -2.46833277e+00 -1.70971262e+00 -4.27479982e+00 -4.63806677e+00
 -2.32589555e+00  9.29190338e-01  4.38031578e+00  5.19340467e+00
  5.69194221e+00  2.53328800e+00  2.61891603e+00 -4.35239935e+00
 -6.80655432e+00 -2.91440773e+00 -1.06071305e+00  1.90901697e+00
  1.01494527e+00 -3.11434174e+00 -5.30071592e+00 -5.25962114e+00
  9.40415337e-02  1.03452876e-01  1.83201160e+03  1.12347147e+02]",blues
6,"[-1.90068817e+02  1.30270233e+02 -3.63621140e+01  3.30362167e+01
  1.10938921e+01 -5.91881871e-01 -2.08902664e+01  2.78442383e-01
 -6.49638510e+00 -5.51273537e+00 -7.84740400e+00 -3.12430072e+00
 -6.60282230e+00 -9.94999981e+00 -6.54268932e+00 -1.00722275e+01
 -1.09186230e+01 -6.96524334e+00 -3.43943191e+00 -6.48449898e+00
 -7.10911798e+00 -7.12706566e+00 -5.27888441e+00 -4.59415483e+00
 -3.24853659e+00 -2.90240693e+00  1.43260241e+00  2.93106651e+00
  2.11799002e+00 -1.48386300e+00 -6.35667205e-01  2.96536160e+00
  2.61036706e+00  1.79085886e+00 -1.98225152e+00 -5.17086124e+00
 -2.37324643e+00  1.40382856e-01  3.70448780e+00  5.25816441e+00
  7.30522374e-02  1.41751960e-01  1.45946969e+03  1.23046875e+02]",blues
7,"[-1.79372299e+02  1.36448334e+02 -2.66625881e+01  3.99654503e+01
  5.31089354e+00  1.09191332e+01 -2.05595341e+01  8.50336075e+00
 -1.13497639e+01 -3.47055507e+00 -8.41584206e+00 -6.95721102e+00
 -3.54604268e+00 -8.05175877e+00 -8.96491814e+00 -8.42748165e+00
 -1.05642805e+01 -1.07856579e+01 -4.69546938e+00 -8.63164139e+00
 -1.10133352e+01 -1.03767920e+01 -1.84377420e+00 -1.44594800e+00
 -3.12922478e+00 -1.18778467e+00 -3.61276960e+00 -3.24840331e+00
 -6.32579863e-01  8.96479666e-01  4.02211714e+00  2.70666862e+00
 -1.66808754e-01 -2.52776480e+00 -3.45681381e+00 -2.88023472e+00
  7.37776279e-01 -1.94611049e+00 -4.87562943e+00 -3.23933220e+00
  6.14422461e-02  1.31767511e-01  1.45185941e+03  9.22851562e+01]",blues
8,"[-1.21389793e+02  1.22498329e+02 -1.47347288e+01  4.61221352e+01
 -8.17925835e+00  2.01724663e+01 -1.91718941e+01  2.30368385e+01
 -1.18327293e+01  2.11546555e+01 -6.72279739e+00  6.98950577e+00
 -1.27305489e+01  5.05853844e+00 -5.18580627e+00 -1.45360410e+00
 -7.04262877e+00  2.69421291e+00  3.40953088e+00 -2.71374416e+00
 -4.27183580e+00 -6.24257207e-01 -4.29112196e+00 -1.33730316e+01
 -8.26902866e+00 -2.09692073e+00  1.05550079e+01  2.92298675e+00
 -1.03557801e+00 -7.51533568e-01 -5.03091395e-01 -1.41101229e+00
 -1.88627195e+00 -1.81169415e+00  2.36684871e+00 -4.30187035e+00
 -3.88268757e+00 -5.09369326e+00  5.08974969e-01  1.18604720e+00
  6.40248876e-02  1.42327279e-01  1.71946337e+03  8.33543347e+01]",blues
9,"[-2.13264236e+02  1.15164757e+02 -1.16981697e+01  3.90153580e+01
 -2.03483295e+01  1.30827017e+01 -9.18270111e+00  9.01715183e+00
 -1.41043119e+01  4.27125454e+00 -6.05078030e+00  3.78583550e+00
  2.22635567e-01 -5.10688162e+00 -4.10153329e-01 -1.17934477e+00
 -1.91470790e+00 -2.29366088e+00  2.88426042e+00 -4.23387909e+00
  1.59438968e+00  2.46875978e+00 -8.98777843e-01  1.86104417e+00
  5.03664160e+00  7.70035505e-01  5.63838339e+00  4.40448761e-01
 -9.02674735e-01 -2.20285511e+00 -1.89067781e+00 -3.45812345e+00
 -9.70140934e-01  1.54581773e+00  3.18873787e+00  4.55131674e+00
  1.90315533e+00 -6.86815321e-01 -2.74149299e+00 -5.90631030e-02
  7.91748236e-02  8.12805519e-02  1.81723059e+03  1.29199219e+02]",blues
